Date,Location,Attendees,Event (legacy; see tags),Tags,Curated,Source,Total Articles,State,lat,lng
2020-07-12,"Charleston, SC",0.0,Racial Injustice,Civil Rights; For racial justice; Against Confederate symbol,Yes,https://www.live5news.com/2020/07/12/black-lives-matter-activists-protest-confederate-monument-downtown-charleston/,2, SC,32.7764749,-79.93105120000001
2020-07-12,"Cameron Park, Sunbury, PA",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.dailyitem.com/news/black-lives-matter-rally-speaker-you-dont-know-my-pain/article_07e68020-c498-11ea-b744-8f48ad4d8e2e.html,2, PA,40.8620661,-76.7939136
2020-07-12,"Martinez, CA",500.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://sfist.com/2020/07/13/sonoma-county-closes-bars-wineries-restaurants/,19, CA,38.0193657,-122.1341321
2020-07-12,"State House, Augusta, ME",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.centralmaine.com/2020/07/12/black-lives-matter-protest-calls-for-police-reforms/,1, ME,44.30717380000001,-69.7818272
2020-07-12,"Center City, Philadelphia, PA",100.0,Racial Injustice,Civil Rights; Education; For racial justice,Yes,https://philadelphia.cbslocal.com/2020/07/12/hundreds-march-through-philadelphia-streets-calling-for-educational-justice-for-black-students-in-schools/,4, PA,39.9509036,-75.1574567
2020-07-12,"Amherst, NY",100.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://buffalonews.com/news/in-amherst-a-mix-of-reactions-to-anti-racism-protesters/article_69e49b24-c491-11ea-86bb-53d1d53e878d.html,2, NY,42.97900670000001,-78.792272
2020-07-12,"Lower Burrell, PA",0.0,Racial Injustice,Civil Rights; For racial justice; For greater accountability; Police,Yes,https://www.wtae.com/article/lower-burrell-community-hosts-rise-up-to-racism-rally/33288720,1, PA,40.5849232,-79.7209802
2020-07-12,"Elmwood Park, Roanoke, VA",100.0,Racial Injustice,Civil Rights; For racial justice,Yes,https://www.wsls.com/news/local/2020/07/12/we-need-everybody-on-board-skateboarders-roller-skaters-protest-for-racial-equality/,2, VA,37.2681951,-79.9400702
2020-07-12,"Pueblo, CO",100.0,Racial Injustice,Civil Rights; For racial justice; Against colonization,Yes,https://www.fox21news.com/top-stories/one-person-arrested-at-christopher-columbus-statue-protest-in-pueblo/,3, CO,38.2544472,-104.6091409
2020-07-12,"Hamden, CT",0.0,Racial Injustice,Civil Rights; For racial justice; Against business,Yes,https://www.wtnh.com/news/connecticut/new-haven/community-rallies-around-hamden-restaurant-worker-who-says-he-was-asked-to-leave-after-wearing-blm-mask-to-work/,1, CT,41.3838782,-72.9026064
2020-07-12,"Kenosha, WI",0.0,Racial Injustice,Civil Rights; For racial justice; Pro-LGBTQ,Yes,https://www.kenoshanews.com/news/local/pride-without-prejudice-march-calls-to-attention-deaths-of-black-transgender-people/article_599cae3c-61aa-51d4-8050-9fbcab2dbf47.html,1, WI,42.5847425,-87.82118539999999
